Time (s),Acceleration (m/s²)
1.043111350E1,-1.299505234E-1
1.047110877E1,4.479694366E-2
1.051110404E1,2.076721191E-2
1.055109937E1,-4.870223999E-2
1.059109464E1,-2.717781067E-2
1.063108997E1,1.831626892E-2
1.067108524E1,-3.663635254E-2
1.071108054E1,-5.089569092E-2
1.075107584E1,5.916309357E-2
1.079107110E1,-3.911876678E-2
1.083106637E1,-9.900569916E-2
1.087106163E1,-1.040172577E-2
1.091105697E1,-1.513862610E-2
1.095105237E1,-2.235126495E-2
1.099104783E1,-1.496791840E-2
1.103104310E1,-1.984786987E-2
1.107103823E1,-3.428554535E-2
1.111103330E1,-1.179580688E-1
1.115102836E1,-1.271057129E-2
1.119102343E1,4.236793518E-2
1.123101850E1,1.834392548E-2
1.127101363E1,-1.984405518E-2
1.131100873E1,2.826309204E-2
1.135100383E1,-5.563259125E-2
1.139099893E1,-5.347347260E-2
1.143099403E1,-4.644870758E-2
1.147098913E1,1.451940536E-1
1.151098419E1,-3.238677979E-3
1.155097936E1,-7.660865784E-3
1.159097439E1,-9.388351440E-2
1.163096953E1,7.825851440E-2
1.167096459E1,-1.745223999E-2
1.171095969E1,-4.855060577E-2
1.175095479E1,3.283691406E-2
1.179094986E1,-1.502037048E-2
1.183094496E1,-1.155986786E-1
1.187094006E1,-6.300926208E-2
1.191093519E1,8.791828156E-2
1.195093029E1,1.238775253E-1
1.199092562E1,-1.179151535E-1
1.203092102E1,1.748085022E-3
1.207091642E1,4.253292084E-2
1.211091182E1,7.367324829E-2
1.215090709E1,-1.536865234E-1
1.219090236E1,1.071166992E-1
1.223089762E1,1.189908981E-1
1.227089296E1,-6.778526306E-2
1.231088822E1,-7.736396790E-2
1.235088355E1,6.869888306E-2
1.239087882E1,-4.373359680E-2
1.243087412E1,-5.566310883E-2
1.247086942E1,-5.569171906E-2
1.251086469E1,4.722881317E-2
1.255086002E1,-4.854965210E-2
1.259085525E1,-9.167957306E-2
1.263085059E1,4.231357574E-2
1.267084582E1,1.136684418E-2
1.271084108E1,-1.224708557E-1
1.275083635E1,-1.721572876E-2
1.279083165E1,6.525039673E-3
1.283082692E1,-1.030540466E-2
1.287082222E1,-8.211708069E-2
1.291081755E1,1.370048523E-2
1.295081282E1,3.769969940E-2
1.299080818E1,-6.998920441E-2
1.303080345E1,-1.059579849E-1
1.307079885E1,1.126003265E-2
1.311079425E1,2.559375763E-2
1.315078961E1,-1.010980606E-1
1.319078481E1,-3.163433075E-2
1.323077988E1,-5.350112915E-4
1.327077501E1,2.114772797E-2
1.331077008E1,-7.471179962E-2
1.335076521E1,-1.496982574E-2
1.339076028E1,-5.811119080E-2
1.343075534E1,-4.135704041E-2
1.347075044E1,5.920600891E-2
1.351074554E1,1.119070053E-1
1.355074064E1,4.492950439E-2
1.359073574E1,-1.250362396E-2
1.363073088E1,-5.085372925E-2
1.367072594E1,1.608371735E-2
1.371072101E1,1.661300659E-3
1.375071607E1,-2.695751190E-2
1.379071117E1,9.515380859E-2
1.383070624E1,-3.893661499E-2
1.387070137E1,-1.298971176E-1
1.391069654E1,-3.665161133E-2
1.395069164E1,1.382360458E-1
1.399068681E1,-1.253986359E-2
1.403068187E1,-1.083507538E-1
1.407067694E1,-6.044864655E-2
1.411067214E1,-2.864837646E-3
1.415066747E1,9.119033813E-3
1.419066290E1,-3.651905060E-2
1.423065834E1,9.751510620E-2
1.427065370E1,-2.223014832E-2
1.431064900E1,2.817440033E-2
1.435064437E1,-6.047534943E-2
1.439063967E1,1.837043762E-1
1.443063493E1,-6.999015808E-2
1.447063023E1,5.198287964E-2
1.451062553E1,-5.575275421E-2
1.455062087E1,-1.257228851E-2
1.459061617E1,-3.183937073E-2
1.463061157E1,-7.010841370E-2
1.467060687E1,-5.798149109E-2
1.471060217E1,1.192951202E-1
1.475059747E1,-1.847810745E-1
1.479059277E1,4.251956940E-2
1.483058807E1,2.089118958E-2
1.487058337E1,-3.887557983E-2
1.491057873E1,-5.794048309E-2
1.495057407E1,1.835060120E-2
1.499056947E1,7.098484039E-2
1.503056480E1,-1.444759369E-1
1.507056010E1,-7.946014404E-3
1.511055540E1,-5.098342896E-2
1.515055070E1,2.320194244E-2
1.519054603E1,1.355962753E-1
1.523054160E1,-9.174060822E-2
1.527053730E1,6.656742096E-2
1.531053280E1,-3.154659271E-2
1.535052823E1,-4.607295990E-2
1.539052346E1,-4.141139984E-2
1.543051873E1,1.046743393E-1
1.547051400E1,-1.011199951E-1
1.551050926E1,6.657600403E-3
1.555050453E1,4.494476318E-2
1.559049979E1,4.493236542E-2
1.563049516E1,-5.804443359E-2
1.567049046E1,-8.435535431E-2
1.571048576E1,-6.046962738E-2
1.575048103E1,-8.450412750E-2
1.579047633E1,-1.203870773E-1
1.583047159E1,7.841205597E-2
1.587046686E1,8.091068268E-2
1.591046219E1,-2.925872803E-3
1.595045746E1,-5.410194397E-3
1.599045279E1,-1.514720917E-2
1.603044806E1,2.551460266E-2
1.607044336E1,-3.425216675E-2
1.611043866E1,-3.643131256E-2
1.615043392E1,4.743671417E-2
1.619042919E1,6.155681610E-2
1.623042445E1,-3.183746338E-2
1.627041979E1,-2.089672089E-1
1.631041519E1,1.141567230E-1
1.635041065E1,-6.524753571E-2
1.639040602E1,-2.232122421E-1
1.643040118E1,9.975337982E-2
1.647039625E1,-4.837417603E-2
1.651039132E1,-7.701492310E-2
1.655038638E1,5.194473267E-2
1.659038148E1,5.212020874E-2
1.663037662E1,1.751899719E-3
1.667037165E1,1.538276672E-3
1.671036675E1,7.624530792E-2
1.675036185E1,-5.541133881E-2
1.679035695E1,1.382217407E-1
1.683035202E1,-7.813453674E-3
1.687034708E1,-1.016807556E-2
1.691034221E1,-3.901290894E-2
1.695033728E1,-1.035976410E-1
1.699033241E1,-1.586484909E-1
1.703032748E1,3.520202637E-2
1.707032254E1,6.153392792E-2
1.711031765E1,-1.394062042E-1
1.715031274E1,-2.453804016E-2
